Title,Resource type,Publication date,Description,Author/Source,Citation,City/County,State or Territory,Country,Sectors,Additional topic areas,Drivers of health,HIA decision-making levels/Geographic Scope,Community types,Organization types,Affected populations,Research methods,Outcome statement,Funding source,Status
East Bay Greenway ,HIA reports,2007,"An HIA that addressed a proposed plan for 12 miles of pedestrian and biking trails under the elevated Bay Area Rapid Transit tracks from East Oakland to Hayward, California, known as the East Bay Greenway.","Human Impact Partners, Urban Ecology, The California Endowment",,Alameda County,California,,"Planning and zoning,Transportation","Active transportation,Bridges and roads,Land-use planning,Parks and green spaces,Siting","Clean air and water,Community safety,Diet and physical activity,Family and social support,Noise,Safe and accessible active transportation routes,Safe and affordable parks and recreational facilities",County,"Urban,Suburban",Nonprofit organization,"Chronic health conditions,Economically disadvantaged,Racial and ethnic minorities","Literature review,Survey,Qualitative research,GIS mapping,Primary research,Quantitative research",Yes,Other funding,Completed
Flooring in Public Housing,HIA reports,2002,An HIA to inform the San Francisco Housing Authority’s policy on flooring for public housing.,San Francisco Department of Public Health,,San Francisco,California,,Housing,,"Clean air and water,Safe, affordable, and healthy housing",Local,Urban,Government agency,,,Yes,Other funding,Completed
Central Corridor Area Plan,HIA reports,"2012, January","An HIA that used the Sustainable Communities Index to describe community assets in the Central Corridor and make recommendations to guide development between Market, Townsend, Second, and Sixth streets in San Francisco.","San Francisco Department of Public Health, San Francisco Planning Department",,San Francisco,California,,"Community development,Planning and zoning","Economic development,Parks and green spaces,Planning","Access to services/medical care,Clean air and water,Education,Income and wealth,Safe, affordable, and healthy housing,Safe street infrastructure",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged","Quantitative research,Literature review,Survey,Primary research",No,Other funding,Completed
Simon/Tanger Outlet Mall,HIA reports,"2014, January","An HIA of a proposed 350,000-square-foot outlet mall development on approximately 50 acres in Berkshire Township, Ohio.",The Delaware General Health District,,Delaware County,Ohio,,Planning and zoning,"Active transportation,Bridges and roads,Siting","Clean air and water,Community safety,Safe and accessible active transportation routes,Safe street infrastructure",Local,Rural,Government agency,"Children,Chronic health conditions,Economically disadvantaged,Older adults","Primary research,Quantitative research,Qualitative research,Literature review",Yes,Health Impact Project grantee,Completed
Upper Chester Development Plan,HIA reports,In progress,"A heath impact assessment to inform the revision of the Upper Chester Development Plan and guide development in this low-income Cleveland, Ohio, neighborhood.",Cleveland City Planning Commission,,Cleveland,Ohio,,Planning and zoning,Planning,"Access to healthy food,Clean air and water,Education,Employment,Safe and affordable parks and recreational facilities",Local,Urban,Government agency,,,No,Health Impact Project grantee,In progress
Urban Agriculture Overlay District,HIA reports,2012,An HIA that informed legislation to introduce intense farm uses in an urban environment.,"Cleveland Planning Commission, partnering with Cuyahoga County Board of Health, Saint Lukes Foundation, Cleveland Department of Public Health ",,Cleveland,Ohio,,"Agriculture,Planning and zoning","Land-use planning,Legislation,Parks and green spaces,Economic development,Food and nutrition,Production","Access to healthy food,Safe and affordable parks and recreational facilities,Employment",Local,Urban,Government agency,Older adults,"Literature review,Qualitative research,Primary research",Yes,Other funding,Completed
The Layoff and Bumping Process in Cincinnati,HIA reports,2011,"An HIA of the health impacts on workers of the system for layoffs in Cincinnati, Ohio.",Cincinnati Health Department,,Cincinnati,Ohio,,Labor and employment,"Addictive substances and behaviors,Mental/behavioral health","Alcohol, tobacco, and drug use,Employment",Local,Urban,Government agency,Chronic health conditions,"Literature review,Focus groups,Primary research,Qualitative research",No,Other funding,Completed
Columbus North East Area Plan,HIA reports,2007,"An HIA that examined the potential effects on air pollution, mental health, social capital, and environmental justice of a proposed land-use plan for northeast Columbus, Ohio.","Columbus Public Health and Columbus Department of Development, Planning Division",,City of Columbus and Franklin County,Ohio,,Planning and zoning,"Long-range planning,Active transportation,Parks and green spaces,Workforce development","Safe street infrastructure,Safe and accessible active transportation routes,Employment,Community safety,Safe and affordable parks and recreational facilities,Family and social support",Regional,Urban,Government agency,"Economically disadvantaged,Chronic health conditions,Children","Literature review,Primary research",Yes,Other funding,Completed
Employer-Sponsored Transit Subsidies,HIA reports,In progress,An HIA to provide new information that may influence employer decisions to adopt or renew contracts with the Nashville Metropolitan Transit Authority to provide free or discounted transit passes to their employees.,"Nashville Metro Public Health Department, Nashville Metropolitan Transit Authority (MTA)",,Nashville,Tennessee,,Transportation,"Human resources policies, benefits,Public transit",Safe and affordable public transit,Local,Urban,Government agency,,,No,Other funding,In progress
Food Deserts in Tennessee-HIA of SB 1176,HIA reports,2015,"A rapid HIA on how the Tennessee Food Desert Relief Act, Senate Bill 1176—introduced in 2012 to authorize the use of revenue bonds and loans to develop property into food desert relief enterprises—might affect rural and urban residents’ health through better access to affordable healthy foods.",Prevention Research Center; Tennessee Obesity Taskforce,,,Tennessee,,"Food and nutrition policy,Community development,Tax and budget policy","Food and nutrition,Financing,Legislation","Diet and physical activity,Access to healthy food,Income and wealth",State,Suburban,Educational institution,"Racial and ethnic minorities,Economically disadvantaged,Older adults,Individuals with disabilities","Literature review,Qualitative research,Primary research,Quantitative research",No,Other funding,Completed
Hamilton Springs Transit-Oriented Development,HIA reports,2013,"A health impact assessment of a proposed school site within the Hamilton Springs Transit-Oriented Development in Lebanon, Tennessee.",Nashville Area Metropolitan Planning Organization,,Lebanon,Tennessee,,Planning and zoning,"Active transportation,Food and nutrition,Land-use planning,Schools,Siting","Access to healthy food,Diet and physical activity,Safe street infrastructure,Safe and accessible active transportation routes",Local,Urban,Government agency,"Chronic health conditions,Economically disadvantaged,Older adults,Racial and ethnic minorities","GIS mapping,Literature review,Qualitative research,Primary research,Quantitative research",No,Other funding,Completed
Knox County Health Department Community Garden,HIA reports,2010,"An HIA related to the placement and maintenance of community gardens in Knox County, Tennessee.",Knox County Health Department; Healthy Kids Healthy Communities Coalition ,,Knox County,Tennessee,,Planning and zoning,"Food and nutrition,Parks and green spaces,Siting","Access to healthy food,Safe and affordable parks and recreational facilities",County,,Government agency,,,Yes,Other funding,Completed
